Date,Avg
2019-05-02,163.669998
2019-05-03,166.199997
2019-05-06,165.000000
2019-05-07,165.000000
2019-05-08,164.500000
2019-05-10,163.600006
2019-05-13,163.479996
2019-05-14,163.000000
2019-05-15,193.000000
2019-05-16,194.309998
2019-05-17,201.800003
2019-05-20,200.199997
2019-05-21,201.300003
2019-05-22,208.919998
2019-05-23,207.000000
2019-05-24,209.490005
2019-05-27,204.250000
2019-05-28,206.000000
2019-05-29,202.110001
2019-05-30,207.899994
2019-05-31,212.000000
2019-06-03,214.410004
2019-06-04,233.500000
2019-06-05,230.240005
2019-06-06,230.000000
2019-06-07,233.770004
2019-06-10,230.850006
2019-06-11,232.320007
2019-06-13,233.740005
2019-06-14,234.130005
2019-06-17,231.580002
2019-06-18,229.669998
2019-06-19,232.500000
2019-06-20,234.000000
2019-06-21,232.520004
2019-06-24,229.539993
2019-06-25,232.009995
2019-06-26,232.509995
2019-06-27,233.000000
2019-06-28,233.199997
2019-07-01,234.100006
2019-07-02,246.250000
2019-07-03,246.000000
2019-07-04,251.600006
2019-07-05,255.320007
2019-07-08,250.089996
2019-07-09,248.690002
2019-07-10,250.750000
2019-07-11,250.000000
2019-07-12,247.000000
2019-07-15,246.979996
2019-07-16,240.009995
2019-07-17,223.559998
2019-07-18,219.000000
2019-07-19,219.500000
2019-07-22,215.970001
2019-07-23,217.500000
2019-07-24,218.470001
2019-07-25,208.000000
2019-07-26,217.000000
2019-07-29,234.119995
2019-07-30,236.100006
2019-07-31,237.410004
2019-08-01,234.539993
2019-08-02,231.100006
2019-08-05,226.000000
2019-08-06,223.619995
2019-08-07,226.899994
2019-08-08,230.509995
2019-08-09,231.449997
2019-08-12,231.059998
2019-08-13,229.880005
2019-08-14,231.100006
2019-08-15,227.690002
2019-08-16,228.479996
2019-08-19,225.990005
2019-08-20,226.580002
2019-08-21,231.800003
2019-08-22,230.899994
2019-08-23,232.699997
2019-08-26,228.880005
2019-08-27,228.919998
2019-08-28,226.559998
2019-08-29,228.850006
2019-08-30,233.690002
2019-09-02,231.750000
2019-09-03,233.399994
2019-09-04,232.699997
2019-09-05,234.699997
2019-09-06,235.660004
2019-09-09,235.000000
2019-09-10,234.320007
2019-09-11,233.029999
2019-09-12,234.300003
2019-09-13,232.509995
2019-09-16,233.979996
2019-09-17,234.529999
2019-09-18,233.000000
2019-09-19,233.110001
2019-09-20,230.750000
2019-09-23,230.500000
2019-09-24,230.360001
2019-09-25,227.039993
2019-09-26,228.740005
2019-09-27,231.919998
2019-09-30,229.050003
2019-10-01,226.000000
2019-10-02,226.160004
2019-10-03,223.500000
2019-10-04,224.300003
2019-10-07,221.899994
2019-10-08,226.529999
2019-10-09,223.100006
2019-10-10,223.000000
2019-10-11,225.000000
2019-10-14,227.369995
2019-10-15,226.000000
2019-10-16,226.000000
2019-10-17,227.660004
2019-10-18,227.880005
2019-10-21,228.490005
2019-10-22,228.580002
2019-10-23,234.860001
2019-10-24,236.410004
2019-10-25,244.100006
2019-10-28,247.300003
2019-10-29,244.029999
2019-10-30,252.899994
2019-10-31,262.250000
2019-11-01,260.100006
2019-11-05,266.000000
2019-11-06,263.140015
2019-11-07,266.010010
2019-11-08,269.920013
2019-11-11,265.000000
2019-11-12,260.809998
2019-11-13,256.109985
2019-11-14,252.559998
2019-11-15,248.500000
2019-11-18,250.000000
2019-11-19,246.500000
2019-11-20,246.639999
2019-11-21,252.000000
2019-11-22,253.100006
2019-11-25,252.119995
2019-11-26,255.529999
2019-11-27,253.800003
2019-11-28,253.460007
2019-11-29,253.889999
2019-12-02,258.450012
2019-12-03,253.199997
2019-12-04,248.500000
2019-12-05,249.500000
2019-12-06,246.500000
2019-12-09,247.899994
2019-12-10,248.990005
2019-12-11,246.839996
2019-12-12,247.639999
2019-12-13,251.110001
2019-12-16,249.600006
2019-12-17,251.229996
2019-12-18,252.000000
2019-12-19,250.960007
2019-12-20,252.750000
2019-12-23,251.500000
2019-12-24,255.610001
2019-12-25,255.000000
2019-12-26,253.309998
2019-12-27,254.309998
2019-12-30,257.100006
2020-01-03,259.179993
2020-01-06,257.200012
2020-01-08,256.250000
2020-01-09,255.690002
2020-01-10,254.000000
2020-01-13,252.500000
2020-01-14,252.000000
2020-01-15,249.500000
2020-01-16,251.899994
2020-01-17,254.750000
2020-01-20,255.660004
2020-01-21,253.250000
2020-01-22,252.809998
2020-01-23,246.710007
2020-01-24,240.119995
2020-01-27,235.000000
2020-01-28,232.600006
2020-01-29,236.949997
2020-01-30,230.710007
2020-01-31,232.529999
2020-02-03,223.800003
2020-02-04,228.490005
2020-02-05,230.889999
2020-02-06,234.000000
2020-02-07,232.380005
2020-02-10,228.500000
2020-02-11,226.550003
2020-02-12,235.300003
2020-02-13,236.899994
2020-02-14,233.789993
2020-02-17,233.500000
2020-02-18,233.000000
2020-02-19,231.809998
2020-02-20,232.509995
2020-02-21,233.050003
2020-02-25,228.000000
2020-02-26,223.320007
2020-02-27,220.990005
2020-02-28,210.000000
2020-03-02,208.000000
2020-03-03,204.960007
2020-03-04,199.949997
2020-03-05,203.000000
2020-03-06,193.500000
2020-03-10,169.449997
2020-03-11,174.000000
2020-03-12,163.000000
2020-03-13,164.000000
2020-03-16,166.100006
2020-03-17,169.000000
2020-03-18,164.899994
2020-03-19,168.580002
2020-03-20,180.000000
2020-03-23,171.000000
2020-03-24,174.389999
2020-03-25,183.000000
2020-03-26,179.449997
2020-03-27,181.240005
2020-03-30,171.990005
2020-03-31,178.500000
2020-04-01,178.029999
2020-04-02,183.800003
2020-04-03,187.009995
2020-04-06,192.240005
2020-04-07,192.899994
2020-04-08,189.699997
2020-04-09,195.690002
2020-04-10,191.889999
2020-04-13,192.259995
2020-04-14,189.729996
2020-04-15,189.149994
